type,recipe_id,ingredient,amount_cups
Muffin,17652,sugar,0.10833333333333332
Muffin,17652,unitless,0.1
Muffin,17652,vanilla,0
Muffin,17652,vegetable,0
Muffin,17652,vinegar,0
Muffin,17652,water,0
Muffin,17652,yogurt,0
Muffin,7113,baking.powder,0.0021701354166666666
Muffin,7113,baking.soda,8.680541666666666e-4
Muffin,7113,butter,0
Muffin,7113,buttermilk,0
Muffin,7113,chocolate,0.041666666666666664
Muffin,7113,cornmeal,0
Muffin,7113,cream.cheese,0
Muffin,7113,eggs,0.16666666666666666
Muffin,7113,flour,0.125
Muffin,7113,fruit,0.10416666666666667
Muffin,7113,fruit.juice,0
Muffin,7113,honey,0
Muffin,7113,margarine,0
Muffin,7113,milk,0
Muffin,7113,nut,0
Muffin,7113,oats,0
Muffin,7113,oil,0
Muffin,7113,other,0
Muffin,7113,salt,2.1701354166666666e-4
Muffin,7113,sour.cream,0
Muffin,7113,spice,8.680541666666666e-4
Muffin,7113,starch,0
Muffin,7113,sugar,0.0625
Muffin,7113,unitless,0
Muffin,7113,vanilla,0
Muffin,7113,vegetable,0
Muffin,7113,vinegar,0
Muffin,7113,water,0
Muffin,7113,yogurt,0
Muffin,18347,baking.powder,0.005208333333333333
Muffin,18347,baking.soda,0
Muffin,18347,butter,0.041666666666666664
Muffin,18347,buttermilk,0
Muffin,18347,chocolate,0
Muffin,18347,cornmeal,0.041666666666666664
Muffin,18347,cream.cheese,0
Muffin,18347,eggs,0.08333333333333333
Muffin,18347,flour,0.10416666666666667
Muffin,18347,fruit,0.08333333333333333
Muffin,18347,fruit.juice,0
Muffin,18347,honey,0
Muffin,18347,margarine,0
Muffin,18347,milk,0.08333333333333333
Muffin,18347,nut,0
Muffin,18347,oats,0
Muffin,18347,oil,0
Muffin,18347,other,0
Muffin,18347,salt,8.680541666666666e-4
Muffin,18347,sour.cream,0
Muffin,18347,spice,0
Muffin,18347,starch,0
Muffin,18347,sugar,0.041666666666666664
Muffin,18347,unitless,0
Muffin,18347,vanilla,0
Muffin,18347,vegetable,0
Muffin,18347,vinegar,0
Muffin,18347,water,0
Muffin,18347,yogurt,0
Cupcake,235906,baking.powder,0
Cupcake,235906,baking.soda,0
Cupcake,235906,butter,0.013020833333333334
Cupcake,235906,buttermilk,0
Cupcake,235906,chocolate,0
